id,energy,valence,danceability
2H7PHVdQ3mXqEHXcvclTB0,0.73,0.625,0.866
4HIwL9ii9CcXpTOTzMq0MP,0.8320000000000001,0.166,0.381
5GZEeowhvSieFDiR8fQ2im,0.139,0.116,0.346
6HA97v4wEGQ5TUClRM0XLc,0.438,0.5870000000000001,0.466
47IWLfIKOKhFnz1FUEUIkE,0.932,0.445,0.419
67DOFCrkcQaLp5yhzF8Y8N,0.0475,0.172,0.394
79NmiFAgcXUIVDGfCWDdWF,0.0584,0.5529999999999999,0.504
4l2hnfUx0esSbITQa7iJt0,0.935,0.58,0.586
5rAxhWcgFng3s570sGO2F8,0.908,0.457,0.603
6QxTWEvzcJljVZaeTzuHF1,0.8759999999999999,0.299,0.331
1RvDsjCBDTES3lPiEGNNMY,0.7929999999999999,0.0398,0.349
6w0vhPaZBYjhrDobs3QE14,0.541,0.329,0.532
3TNNGjgOQ7O8vwAlvlD9Fg,0.333,0.0486,0.382
0P44AUPRzaIAHNWquN0fGR,0.991,0.7659999999999999,0.5429999999999999
2374M0fQpWi3dLnB54qaLX,0.373,0.732,0.6709999999999999
2XBc2jWnvPqNO2LebVtLaY,0.0337,0.3,0.456
4QdwsME04RG25KPHcPYoox,0.95,0.391,0.4920000000000001
0PqJ7LSknltqqMNqPDClNA,0.75,0.58,0.402
55CenVQ4alvDJ1PS8aYB0m,0.423,0.291,0.279
2rPJcL8gQauA2nBdRyNZZL,0.847,0.148,0.494
1XczdQt6RKNkEQfPqUsi3q,0.4270000000000001,0.158,0.189
4ZQdynvfiayhdoq5lcuCQ1,0.6890000000000001,0.23,0.429
6hZkQjIQBY7HAj4nzLUvdx,0.879,0.483,0.488
17Nk1aji6gd26vabky7fMi,0.982,0.583,0.429
3U4isOIWM3VvDubwSI3y7a,0.264,0.331,0.422
15bAMg00o4VdWmQrlkbfG3,0.816,0.5329999999999999,0.737
7kpa6MWRrPaF3b6C0DgioK,0.906,0.371,0.363
0suQ6B8Bsp0tFuCXx652Az,0.0576,0.359,0.391
4OWZLr2sLv7ueKPHV7JRNP,0.0121,0.118,0.391
6x6XKEUcCJGUACD4Xh7KuP,0.356,0.111,0.486
0L6lVIgGqVHnmR3BIy8GHa,0.462,0.189,0.463
5hXTMmVXz1Ablgu34BkTz1,0.195,0.315,0.693
6H0wgcQCOuLYqDuNhMW8KL,0.973,0.118,0.313
1SSAvErVyid5OXzmtGZKkg,0.86,0.249,0.664
4sPJgy0CksvmXp9jC0W4gv,0.8,0.357,0.388
305WCRhhS10XUcH6AEwZk6,0.953,0.537,0.613
72qlZsoVPpyFxVjL6GUuYI,0.8240000000000001,0.202,0.6940000000000001
2lJa0SY7vZpvJ7QDFanOuZ,0.871,0.8,0.696
6WdO6Ds95sLALCqCOfbDQh,0.147,0.238,0.535
42BtxDRqFTbE6Jb6rd9QOZ,0.035,0.0651,0.265
00ZtJgQax06A96l8sMcmlB,0.0943,0.109,0.346
4wzaTdhmBgpch7IXu3CskA,0.93,0.195,0.396
78W8wiUIlQ2SnWY9TVowKZ,0.865,0.595,0.4970000000000001
6MrVWgw16iHBGRntjRkGQq,0.0197,0.113,0.383
1qUaWLUot3Iik95S09cdSZ,0.352,0.275,0.512
7vCuaxRIKElwgjSAo5REkw,0.199,0.0744,0.401
2KSCegx6TosQQEgmhJKNQa,0.289,0.225,0.471
65w8nArxPq2EzOAhteymf0,0.443,0.265,0.399
6a9DN96EWRc56Lwl5YD7KL,0.00518,0.0381,0.408
6irNz2hSXvd2QJG0vXyBFR,0.968,0.505,0.541
08qO8i2K0Hxl0h8PIncyuH,0.384,0.0912,0.44
0AG2l0IboWNSwjUkMr2Aq7,0.155,0.0949,0.5720000000000001
2s25Z079T5KRzfqEQRMQQ4,0.52,0.339,0.732
4zhRVs7eqgdroy5E3kKEs2,0.892,0.599,0.531
199PI6mx1IFrDk8ZMtNTyX,0.11,0.173,0.321
2gMXnyrvIjhVBUZwvLZDMP,0.575,0.183,0.459
3iJxloILmOu2NIRZ0OGyui,0.6679999999999999,0.765,0.6659999999999999
6MLHg35rlksBc5OBcdZvJi,0.234,0.408,0.387
4VywXu6umkIQ2OS0m1I79y,0.347,0.659,0.868
0yBM8cOHjb6iiMI2eM8pIc,0.185,0.264,0.171
6B2jQL05apmJlDZtPIxD3R,0.701,0.168,0.769
6DzvC1VHpyTFfLBbAYBa7W,0.187,0.118,0.235
0e0hVla9NkILk2JWOwVCMW,0.522,0.0973,0.476
7ESnexsnylx85YfT6ZiSun,0.5489999999999999,0.32,0.407
6yTnvHRhUuuaoxy4dHzLGo,0.8640000000000001,0.5,0.5479999999999999
3TSZpRzSEKL1dFfpd1JDoF,0.68,0.346,0.612
1fMZR4DD2mE0iXginD9fOc,0.857,0.301,0.667
61XspFITuKmAlYdQacNCbF,0.938,0.584,0.438
2pfkaHd8arhESSxyJAou6g,0.268,0.057,0.441
